Comment,Designator,Footprint,LCSC
SKQGABE010,SW1,SW_SPST_SKQG_WithoutStem,C115351
ASMD1206-150,F2,Fuse_1206_3216Metric,C135341
10k,R5,R_0402_1005Metric,C25744
5.1k,"R3,R4",R_0402_1005Metric,C25905
PRTR5V0U2X,U58,SOT-143,C2827688
SLSS49E-3,"U10,U11,U12,U13,U14,U15,U16,U17,U18,U19,U2,U20,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31,U32,U33,U34,U35,U36,U37,U38,U39,U4,U40,U41,U42,U43,U44,U45,U47,U48,U49,U5,U50,U6,U7,U8,U9",SOT-23,C2904393
USB_C sink board 1.3mm,J2,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C3019717
100nF,"C1,C10,C11,C12,C2,C29,C3,C6",C_0402_1005Metric,C307331
60R@100MHz,L1,L_1206_3216Metric,C33600
SK6812MINI-E,"D13,D14,D19,D2,D20,D25,D26,D31,D32,D37,D38,D44,D49,D7,D8",LED_6028R,C5149201
SK6812MINI-E,"D10,D11,D12,D15,D16,D17,D18,D21,D22,D23,D24,D27,D28,D29,D3,D30,D33,D34,D35,D36,D39,D4,D40,D41,D42,D45,D46,D47,D48,D5,D6,D9",LED_6028R,C5183448
1uF,"C4,C5",C_0402_1005Metric,C52923
XC6206PxxxMR-Regulator_Linear,U52,SOT-23,C5446
74HC4051,"U51,U53,U54,U55,U56,U57",TSSOP16,C5645
74AHCT1G125,U46,TSOT-23-5,C7468
STM32F072CBT6,U59,LQFP-48_7x7mm_P0.5mm,C81720
10uF,C13,C_0603_1608Metric,C96446
